"label","cleaned_text"
"fraud","hello, i am bank manager of sbi, your debit card is about to expire would you want to issue new  card."
"fraud","todays vodafone numbers ending with 4882 are selected to a receive a £350 award. if your number matches call 09064019014 to receive your £350 award."
"normal","please do not say like that. hi hi hi"
"normal","thank you!"
"normal","oh that was a forwarded message. i thought you send that to me."
"normal","got it. seventeen pounds for seven hundred ml – hope ok."
"normal","me and him so funny..."
"normal","sweetheart, hope you are not having that kind of day! have one with loads of reasons to smile. biola"
"normal","when you login date time... dad fetching you home now?"
"normal","what will we do in the shower, baby?"
"fraud","your account is at risk! share otp to verify."
"fraud","enter your pin to claim your reward."
"fraud","give me your otp now."
"fraud","we noticed unusual activity. send your otp now!"
"normal","i had askd you a question some hours before. its answer"
"normal","well i am definitely need to restock before thanksgiving, i will let you know when i am out"
"normal","said kiss, kiss, i cannot do the sound effects! he is a gorgeous man is not he! kind of person who needs a smile to brighten his day! "
"normal","probably going to swing by in a wee bit."
"normal","you very nice. . .be ready on thursday."
"normal","allo! we have braved the buses and taken on the trains and triumphed. i mean we‘re in b‘ham. have a jolly good rest of week"
"normal","watching cartoon, listening music &amp; at eve had to go temple &amp; church.. what about you?"
"normal","do you mind if i ask what happened? you do not have to say if it is uncomfortable."
"normal","no problem. i will send to your email."
"fraud","you have won ?1,000 cash or a ?2,000 prize! to claim, call 09050000327."
"normal","that is cool! sometimes slow and gentle. sometimes rough and hard."
"normal","i am going to say no. sorry. i would but as normal am starting to panic about time. sorry again! are you seeing on tuesday?"
"fraud","hello sir, i am from jio customer care in 23 hours your sim will be closed. do you want to activate it."
"fraud","hello sir, i am from airtel customer care in 23 hours your sim will be closed. do you want to activate it."
"fraud","hello sir, i am from idea customer care in 23 hours your sim will be closed. do you want to activate it."
"fraud","hello sir, i am from vodafone customer care in 23 hours your sim will be closed. do you want to activate it."
"fraud","hello sir, i am from bsnl customer care in 23 hours your sim will be closed. do you want to activate it."
"fraud","hello sir, i am from mtnl customer care in 23 hours your sim will be closed. do you want to activate it."
"fraud","hello sir, i am from jio customer care in 23 hours your sim will be deactivate. do you want to activate it."
"fraud","hello sir, i am from airtel customer care in 23 hours your sim will be deactivate. do you want to activate it."
"fraud","hello sir, i am from idea customer care in 23 hours your sim will be deactivate. do you want to activate it."
"fraud","hello sir, i am from vodafone customer care in 23 hours your sim will be deactivate. do you want to activate it."
"fraud","hello sir, i am from bsnl customer care in 23 hours your sim will be deactivate. do you want to activate it."
"fraud","hello sir i am from jio customer care center we are doing verification of yours number that is why in your phone four digit opt will have send. tell me that otp."
"fraud","hello sir i am from airtel customer care center we are doing verification of yours number that is why in your phone four digit opt will have send. tell me that otp."
"fraud","hello sir i am from idea customer care center we are doing verification of yours number that is why in your phone four digit opt will have send. tell me that otp."
"fraud","hello sir i am from vodafone customer care center we are doing verification of yours number that is why in your phone four digit opt will have send. tell me that otp."
"fraud","hello sir i am from bsnl customer care center we are doing verification of yours number that is why in your phone four digit opt will have send. tell me that otp."
"fraud","hello sir this is your hdfc bank manager. your kyc has been expired.so you have to kyc your self, but due to covid setuation we are doing kyc online, pleae tell me your account detail."
"fraud","hello sir this is your icici bank manager. your kyc has been expired.so you shave to kyc your self, but due to covid setuation we are doing kyc online, pleae tell me your account detail."
"fraud","hello sir this is your axis bank manager. your kyc has been expired.so you have to kyc your self, but due to covid setuation we are doing kyc online, pleae tell me your account detail."
"fraud","hello sir this is your uniun bank manager. your kyc has been expired.so you have to kyc your self, but due to covid setuation we are doing kyc online, pleae tell me your account detail."
"fraud","hello sir this is your sbi bank manager. your kyc has been expired.so you have to kyc your self, but due to covid setuation we are doing kyc online, pleae tell me your account detail."
"fraud","hello sir this is your allahabad bank manager. your kyc has been expired.so you have to kyc your self, but due to covid setuation we are doing kyc online, pleae tell me your account detail."
"fraud","hello sir, are you using bhim/upi , sir you have to upgrate your bhim/upi othr wise you account will be block."
"fraud","hello sir, tell me your credit/debit card mobile number and aadhar card."
"fraud","hello i am from income text department you have not registered your aadhar to your pan card. please tell me your aadhar number to coonect to your pan card."
"fraud","hello sir, i am from bank please tell me your card cvv number for your bank verification."
"fraud","hello sir, i am from union bank, sir i have call you for your bank account verification do you want verify your account. sir then tell me your aadhar card number and pan card and your debit/credit card number."
"fraud","hello sir, i am from sbi bank, sir i have call you for your bank account verification do you want verify your account. sir then tell me your aadhar card number and pan card and your debit/credit card number."
"fraud","hello sir, i am from hdfc bank, sir i have call you for your bank account verification do you want verify your account. sir then tell me your aadhar card number and pan card and your debit/credit card number."
"fraud","hello sir, i am from india bank, sir i have call you for your bank account verification do you want verify your account. sir then tell me your aadhar card number and pan card and your debit/credit card number."
"fraud","hello sir, i am from obi bank, sir i have call you for your bank account verification do you want verify your account. sir then tell me your aadhar card number and pan card and your debit/credit card number."
"fraud","hello sir, i am from allahabad bank, sir i have call you for your bank account verification do you want verify your account. sir then tell me your aadhar card number and pan card and your debit/credit card number."
"fraud","hello sir, i am from bank of baroda, sir i have call you for your bank account verification do you want verify your account. sir then tell me your aadhar card number and pan card and your debit/credit card number."
"fraud","hello sir ,i am from unoin bank of india do you have fill application form for loan. i called you for verify your document, tell me your aadhar number and otp of your mobile number. "
"fraud","hello sir ,i am from sbi bank of india do you have fill application form for loan. i called you for verify your document, tell me your aadhar number and otp of your mobile number. "
"fraud","hello sir ,i am from axis bank of india do you have fill application form for loan. i called you for verify your document, tell me your aadhar number and otp of your mobile number. "
"fraud","hello sir ,i am from hdfc bank of india do you have fill application form for loan. i called you for verify your document, tell me your aadhar number and otp of your mobile number. "
"fraud","hello sir ,i am from bank of baroda india do you have fill application form for loan. i called you for verify your document, tell me your aadhar number and otp of your mobile number. "
"fraud","hello sir, i am from paytm there are offer in paytm upgrade your account so you can enjoy better cashback offrs."
"fraud","you won a lucky draw for shopping on an amazon, provide your bank details for deposit your amount towards logistics charge."
"fraud","you won a lucky draw for shopping on an flipkard, provide your bank details for deposit your amount towards logistics charge."
"fraud","you won a lucky draw for shopping on an myntra, provide your bank details for deposit your amount towards logistics charge."
"fraud","hello sir we are from covid-19 health care center, for vaccination call 7845963214"
"fraud","hello sir, i am from covid-19 center, you have filled the form for vaccination, we are for vefication of your document."
"fraud","hello sir, i am from covid-19 center, those who are vaccinated they will get money by indian goverment please tell me account detail to deposit money in your account."
"fraud","hello sir, i am from covid-19 center, for vaccination you have to pay money ,please pay your money on this upi myupi@axis"
"normal","hello, how are you. i am fine, what about you."
"normal","hii,"
"normal","hello,"
"fraud","hello, you have won 10000 inr, do you want to deposit it in your bank account."
"fraud","give me your bank account number and debit card number for deposit money in your bank account."
"fraud","hello sir,i am from sbi bank,do you want a new credit card.give your aadhar and mobile number for issue a credit card."
"fraud","hello sir, to get a 500 inr voucher for play rummy go to this link http://xyz.abc"
"fraud","hello, i am from indian army. by mistakely i have given your mobile number in amozon during online shopping, that why you have got an otp, please tell me that otp."
"fraud","as a valued network customer you have been selected to receive 9000 inr prize reward! to claim call 09061701461. claim code kl341. valid 12 hours only."
"fraud","had your mobile 11 months or more? you are entitled to update to the latest colour mobiles with camera for free! call the mobile update co free on 08002986030."
